mip_lower,n
resolving the high degree of economic inequality,1
resoudre les armes à feu. et la langue française¸santé milieu de travail,1
resource development in western canada,1
respect,1
respect and transparency,1
respect de la langue française et le respect des privinces,1
respect de la langue française partout au canada,1
respect de la liberté individuelle,1
respect de verite,1
respect des champs de compétence des provinces et particulièrement le respect des lois adoptées par l'assemblée nationale du québec,1
respect des champs de compétences provinciale,1
respect des compétences,1
respect des compétences de chaque niveau de gouvernements,1
respect des compétences des provinces,1
"respect des compétences envers les provinces dont le québec , donner plus de pouvoirs au provinces.",1
respect des droits des autochtones,1
respect des décisions démocratiques de l’assemblée nationale du québec,1
respect des juridiction d’état la constitution,1
respect des juridictions,1
respect des juridictions provinciales et l’écologie,1
respect des résidants canadiens,1
respect des traditions et coutumes canadiennes,1
respect for constitutional rights and the illegal actions of government during the ccp pandemic,1
respect loi du québec laicité,1
respect of freedom and personal liberty,1
respecter l'autonomie du québec,1
respecter le québec et la langue française,1
respecter les compétences juridictionnelles (provinciales),1
respecting human dignity from conception to death,1
respecting the promises,1
response of the pandemic,1
response to corona virus pandemic,1
response to covid,1
response to covid-19,1
"responsibility to act on all recommendations from the trc and ensure canada is in a nation to nation relationship with indigenous, inuit  and metis",1
restart of the economy after vovid-19,1
restart the economy,1
restart the economy equita,1
restarting our economy and getting rid of covid,1
restarting the economy after pandemic,1
restore economy,1
restoring democracy,1
restoring freedom to the country's citizens,1
restoring integrity to government.,1
restoring the economy after the pandemic,1
restoring the economy caused by the covid-19 pandemic,1
restoring true democracy.,1
restricted weapons ownership,1
restricting federal meeting,1
retablir la dete,1
retain a minority government,1
retaining our freedoms,1
retired people should treated better after many years they spent working to this country.,1
retirement,1
retirement affordability,1
retirement and healthcare for seniors especially in long term care (covid pandemic),1
retirement issue,1
retirement pension increases,1
retirement pensions,1
retirement preparation and seniors tax,1
retirer justin trudeau comme premier ministre,1
retirer la pcu et trouvé les fraudeur de pcu,1
retirer m. trudeau,1
retour a la normale,1
retour au vrai normal.,1
retour d une économie croissante,1
retour de plusieurs secteurs a redonner au province,1
retour normal,1
retour à l'économie,1
retour à la normale,1
retour à un équilibre budgétaire le plus rapidement,1
retrait du passeport vaccinal,1
retrouver la paix et avoir un gouvernement majoritaire,1
retrouver nos libertés,1
"return to normal after the pandemic - including kick starting the economy and people returning to work without bankrupting the country.   also, i feel many people have abused the wage subsidy program and i hope the free handout of wage subsidy is cancelled and anyone who received the subsidy who shouldn't have needs to repay the money.",1
return to normalcy after covid-19,1
return to sanity,1
returning to normal/ending covid measures,1
reveal the government’s corruption.,1
revenbu personne agé,1
revenir à ce que c’était avant la pandémie,1
revenir à un budget équilibré,1
revenir à un équilibre budgétaire et abaisser la dette,1
"revenir à une vie ou le pays aide les entreprises d’ici au lieu de les fermer. revenir un pays ou le peuple est heureux de faire partie d’un pays avec beaucoup de liberté. et enfin redevenir rationnel en ce qui concerne les dépenses. remettre le covid19 à sa place, soit une grippe saisonnière avec une liberté de vaccination.",1
revenu de base universel.,1
revitalizing the economy post pandemic.,1
revive the economy,1
reviving economy during covid,1
reviving the economy,1
revoir un 1er ministre comme le père de justin,1
rework criminal code,1
rhrhrh,1
rid ourselves of the incompetent liberal party and their leader.,1
rid the pandemic,1
ridding canada of the liberal government and justin trudeau,1
riding that does not represent the member of parliament based on the voters. e.g. green party has much less percentage of seats in compare with percentage of voters.,1
rien a part expulser trudeau a coup de pied dans le cul :),1
rien na dire,1
rien sauf du niaisage,1
rien va changer,1
rigged election,1
right choice?,1
right leader,1
right to choose my health,1
right to life and freedom,1
right-wing racist extremism,1
"rights and freedoms in relation to covid-19 measures (vaccination, etc.)",1
rights for the non vaccinated,1
rights not to take experimental vaccines,1
rights of citizens,1
rights of human,1
"rights of seniors, support them, they need more help.",1
rights of the unborn,1
rise in cost of living,1
rise of cost of living,1
rise of government authoritarianism,1
"rising cost of evertyhing, inflation",1
rising cost of housing,1
rising debt that all canadian has to pay in form of tax that will increase gradually.,1
rising house costs,1
rising housing cost/cost of living,1
rising prices of house rents and house prices,1
rising prices with everything,1
rising prices/taxes,1
rising wage gap,1
role of govt in representing citizens fairly and well,1
rooting for climate change,1
rooting out corruption,1
rules and regulation changes,1
règles encadrant la culture du cannabis médical,1
"règles sanitaire, contre des armes à feu, la crise des logements, et j'en passe",1
réalité autochtone,1
réchauffement de la planète   le climat,1
"réchauffement de la planète, les aînés, le manque de personnel.",1
réchauffement planétaire,1
réconciliation avec les autochtones,1
réduction d'impôts,1
réduction de la dette,1
réduction de la dette et relance de l’économie dans le respect des ententes déjà conclues avec les provinces.,1
réduction des deficits,1
réduction des dépenses,1
réduction des impôts,1
réduction des inégalités,1
réduction des taxes et de l’impôt,1
réduction du réchauffement climatique,1
réduire immigrations,1
réduire la dette du canada,1
réduire les dépenses et la dette,1
réduire les dépenses et la dette issues des libéraux.,1
"réduire les impôts, tps",1
"réduire l’endettement,et que le 1er ministre du canada ne se mêle pas des décisions des gouvernements  provinciaux",1
réforme de l’assurance-emploi pour inclure travailleurs autonomes,1
réforme système de votes,1
référendum sur le gouvernement libéral,1
régler la pandémie,1
"régler tous les dossiers qui créent des problèmes aux citoyens autochtones (eau courante, enfants martyrisés dans des établissements scolaires menés par la religion catholique, etc)",1
réouverture sécuritaire du pays post covid,1
répartition de la richesse,1
répartition richesse,1
réponse face à la pandémie de covid-19,1
réseau de la santé,1
réseau santé et éducation,1
"rétablir l'harmonie dans tous les secteurs (éducation, santé, vieillesse) retrouver un équilibre",1
rétablir l'économie du pays et remettre les systèmes de santé en ordre,1
rétablir le déficit,1
rétablir les finances,1
rétablissement des finances après la covid-19,1
"réussi la sortie de la pandémie et assurer la relance économique et rassembler toutes les personnes dans un objectif commun: le bien de chacun, le. bien du canada et le bien du monde",1
réélection du parti libéral prioritaire,1
rééquilibrer les finances sans compromettre les services aux citoyens,1
safe and clean centre because of the covid-19,1
safety from current covid-19 dilemma,1
safety measure during covid19,1
safety of canadians,1
safety of people,1
safety of people and country,1
salaire,1
salaire minimum,1
sante  economie changement climatique,1
sante & economie,1
sante et eduation,1
santeeconomie,1
santer et scolaire,1
santé  et l économie,1
santé  et éducation,1
santé  économie  la covid  égaliter envers tout les canadein,1
santé (covid 19) à eleminer,1
santé (régler la covid-19),1
santé (urgence de trouver solution à la pénurie des infirmières),1
"santé , environnement , arme à feu , racisme",1
santé et ainés,1
santé et augmentation pensions des 65 ans pareil que les 75 ans,1
santé et climat,1
santé et dette,1
santé et economie,1
santé et environements,1
santé et les aînés,1
santé et personne agées,1
santé et politique internationale,1
santé et reconnaissance de la langue française,1
santé et économie,1
santé impot garderie,1
santé sans restrictions,1
santé éducation,1
"santé, aide aux famille, coût de la vie",1
"santé, environnement, économie",1
"santé, environnement, éducation, emploi",1
"santé, famille et climat",1
"santé, l'oi 21, économie",1
"santé, pandémie",1
"santé,économie",1
santée,1
sauver la planète,1
saving our country from the liberal government,1
saving the economy,1
saving the environment and taxes to be lowered,1
savoir si la pce et la pcru permettront à trudeau de s'acheter cette élection,1
savoir si on va encore etre pogné avec justin comme premier ministre,1
saying no to vaccine passports and medical freedom,1
school debt,1
school funding,1
scolair,1
scrap the first past the post system of counting votes,1
sdfvfx,1
se debarasse de trudeau,1
se débarasser de justin trudeau,1
se débarasser des liberaux,1
se débarasser des libéraux,1
se débarrasser de trudeau,1
se débarrassé de trudeau parce quil est néfaste pour le pays,1
se reconfirmer dans ses promesses,1
se relever de la pendemie,1
se sortir de la pandémie,1
seanor,1
secondary education,1
"secure the environment, secure the economy, secure the country.",1
securing a strong financial future,1
securing financial security,1
security and health,1
security in the future,1
see greens get in,1
see my community grow,1
seeing a rent cap/ afford food prices and climax change,1
segregation of society based on medical history,1
self esteem,1
"selling out to china…housing costs, oil, the two michaels",1
senior,1
senior affordability,1
senior affordable housing,1
senior and pharmacare issues,1
senior benefit,1
senior benefits and healthcare,1
"senior benefits, cpp oas gis",1
senior care and govt pension increase,1
senior care and issues.,1
senior care and rights,1
senior care and the environment,1
senior care in long term homes,1
senior citizen supports,1
senior citizens are not getting there fair shake in every election,1
senior citizens pensions,1
senior citzens,1
senior drug costs,1
senior health,1
senior health and prescriptions,1
senior health and welfare,1
senior health care accessability and funding,1
senior health care and reduction in taxes,1
senior health care including long term care,1
senior helath care,1
senior help,1
senior housing and equitable income,1
"senior housing, low income",1
senior income,1
senior issues like health care,1
"senior issues, pensions, affordable living, doctor shortage",1
"senior issues: cpp, oas, medical (incl hearing, dental, & optical), senior homes",1
senior living,1
senior long term care,1
senior pensions,1
senior pensions and care,1
senior pentions,1
senior people's help.  pensions stability and low incomers helping out.,1
senior poverty,1
senior programs,1
senior rights,1
senior support,1
senior supports,1
senior welfare,1
senior's benefits,1
senior's care,1
"senior's care, including long term care facilities.",1
senior's income can't keep up with high costs living,1
"senior's issues, health care and long term living arrangements",1
senior's pension amounts which are too small,1
senior's rights,1
senior's services,1
senior's welfare,1
seniors  income and taxes,1
seniors  oas rate and medical coverage,1
seniors  universal basic income,1
seniors - better pensions - no more boat people please ---,1
"seniors - income, health benefits, housing and transportation",1
seniors affairs,1
"seniors affairs, economy",1
seniors affordability to live,1
seniors affordable housing,1
seniors and financial,1
seniors and what they are paid oas is way to low,1
seniors are not getting much help,1
seniors are the most important issue to me personally in this federal election that they have enough money to live on.,1
seniors being helped,1
seniors benifets,1
seniors care & pensions,1
seniors funding,1
seniors gov. pension too low!,1
seniors having a better life and financial security,1
seniors having to pay for prescriptions and dental,1
seniors health,1
seniors health and payments,1
seniors health care and ltc,1
seniors health welfare,1
"seniors income, affordable housing",1
seniors issues as they are usually ignored by all parties,1
seniors issues including health care,1
seniors issues like dental care and drug costs,1
"seniors issues pensions care ,health",1
seniors issues.,1
seniors medical affordability,1
seniors pay,1
seniors pension,1
seniors pentios,1
seniors policy,1
seniors problems,1
seniors protection,1
"seniors under 75 should get increases also the ones that has to keep working because they need to keep their head above water.  i feel that seniors that have worked their whole life should not be forgotten because they are old. the government has money out like it grows on trees. who is going to pay it back the ones that are not getting the funds.  with the cerb people say they can spend it anyway which way they want and they are not going to pay it back.  peoples with babies always get help.  ""welfare / mothers allowance if this is still active / i know times have changed but my days you need to support yourself.  why not help the indigenous before you bring out sides for us to pay taxes for their upkeeps'",1
seniors welfare,1
seniors',1
seniors'  health care,1
seniors'  issues and gun control,1
"seniors, economy and healthcare",1
"seniors, health care, housing for seniors. i it is impossible to live on cpp pension as a single senior in with back up money.back up icnome. .",1
"seniors, ltch, covid-19, jobs, vaccines.",1
senoirs,1
separation du quebec,1
"service de garde, respect des compétences provinciales",1
service à la population,1
services de santé,1
services for seniors,1
services sociaux,1
setting up a domestic vaccine manufacturing industry,1
"several, having written that. i certainly do believe that the federal ridings need to be revised fairly per capita. as it currently stands, central canada has the overall say for each and every election.",1
sex work,1
sfasegs,1
sfdg,1
shooting & crime,1
should an electionbeen called at the present time.,1
should be easier  to get rid of lack luster leaders.,1
should not be an election diring pandemic money could be bettercspent elsewhere te,1
should not call election during pendemic and waste so much money on an unnecessary election,1
should not have been called.,1
shouldn't have been called,1
shut down the earth and health destroying slaughterhouse and meat consumption,1
situation économique,1
situation économique et sociale après cette pandémie,1
size of debt,1
slim hope that the party that shares my values will win riding and hopefully election in the federal level,1
small business and taxation,1
small business help,1
small percentage of votes get a majority in decision making. it's not representative of all of canadians,1
"snc lavalin, we scandal, etc., by current liberal govt.",1
so many things,1
so many things are,1
soaring taxes,1
"social - health, children, education",1
social and environmental,1
social assistance,1
social assistance and covid,1
social concerns,1
social conservatives,1
social determinants of healtj,1
social economic,1
social equality,1
social equity,1
social funding,1
social housing,1
social housing and minimum wage,1
social inequality caused by capitalism,1
social inequality issues,1
social infrastructure,1
social issues/ covid-19,1
"social justice (homelessness, poverty)",1
"social justice issues like homeless, food insecurity, systemic racism crime and guns",1
"social justice issues like housing, anti-racism, trc",1
"social program funding, including social assistance, the child tax benefit, etc.",1
social programs,1
social programs / welfare,1
social programs and continued funding,1
social safety net -,1
social safety nets,1
social security,1
social services and the environment,1
"social services not being cut, indigenous rights, tax the ultra rich",1
"social services, housing",1
"social services, indigenous issues, environment",1
social stupidity,1
social support programs and education,1
socialism,1
socialized pharma and dental care,1
socio-economic covid recovery,1
"société (bien-être mental, économique,...)",1
soin aux ainees et dette covid,1
soin en santé,1
soin hospitalier,1
soins aux personnes âgées,1
soins de la santé,1
soins de la santé (ex: le dentiste) gratuit ou du moins plus abordable .,1
soins de sante,1
soins de santer,1
soins de santé à long terme,1
"soins dentaire, environnement, immigration",1
soins des ainés,1
soins hospitaliers,1
soins pour la santé,1
soins pour les ainés - santé,1
solutions pour sortir de la pandémie,1
solving the housing and rental crisis,1
some one who cares about the country and the citizens,1
some shortcomings in the way the pandemic and related issues were handled,1
somebody that's going to make do to their promises for nova scotia,1
someone different to be prime minister,1
someone that considers indigenous and racialized individuals,1
someone that doesnt screw the country up anymore than it is,1
someone to come in and help out the small people.,1
someone who is expert o. covid,1
someone who will help lower housing and renting costs,1
someone who will help people getting screwed over by the gov like me...,1
someone who will recognize the unique needs of alberta,1
somone who keeps their word,1
sortie de crise covid,1
sortie de la covid et relance économique,1
sortie pandemie,1
sortir de la covid-19,1
sortir de la pandemie covid-19,1
"sortir de la pandémie, l!envronnement",1
sortir du déficit,1
sortir justin trudeau de son poste de premier ministre avant qu’il ne mette le pays en faillite,1
sortir justin trudeau du rôle de premier ministre,1
sortir le fédéral du pouvoir,1
sortir le partit au pouvoir,1
sortir le plus grand comédien et dépensier de l'histoire du canada,1
sortir les liberaux,1
sortir les liberaux.,1
sortir les libéraux du pouvoir,1
sortir les pions des mondialistes du pouvoir,1
sortir les pourries a trudeau,1
sortir tous ces partis pour que puisse s'installer une vraie démocratie.,1
sortir trudeau !!!,1
sortir trudeau au plus christ,1
sortir trudeau et réduire la dette,1
"sortir trudeau et son équipe d'incompétents, pro-islam et anti-québec du pouvoir",1
sound economic planning,1
sound economic policy,1
sound leadership,1
soutien au famille,1
"soutien aux entreprises locales, environnement",1
soutien aux familles,1
souveraineté,1
souveraineté du québec,1
spendimg,1
"spending (stop), reduce the debt,l",1
spending and cost to the tax payer,1
spending and economy,1
spending and the deficit,1
spending and the huge deficit.,1
spending money on not smart things,1
spending my tax dollars on everything from day care to lining their own pockets,1
spending too much money,1
spiralling debt,1
spiralling debt reconciled with need for services,1
sponsor ship visas process,1
sponsorship,1
spread of misinformation,1
sseniors health care & climate change,1
stabiliser les finances,1
stabilite,1
stability - maintaining progressive values/climate change action,1
stability after the pandemic,1
stability of programs until full debate and costing of new programs can be done,1
"stabilité politique, amélioration sociale, image du canada international, respect des provinces",1
stabilitée,1
stabilize prices especially has so that the average person can feed their family and keep a roof over their head and quit over taxing citizens,1
stable leadership,1
stances on the environment and abortion,1
"standardization of universal health care, pharma care & care for seniors across canada.",1
"standing up to the us, and fighting back for once!",1
start to try to balance the budget,1
starting up the economy after covid 19,1
state of health care,1
state of the economy,1
state of the economy/ housing prices,1
stay safe,1
stay the course,1
stay the course and eradicate covid-19,1
staying on track with our response to covid,1
stop all the lies about how dangerous covid is. and pull the vaccines which don't work,1
"stop communism, allow us our freedom and no more taking away the insensitive to work",1
stop corruption of government leaders,1
stop covid ei benefits,1
stop doing anything that is only political correct,1
stop excessive spending by govt so it can put money in the hands of it's citizens and not other countries - look and take care of your own people/house before obligating tax payers to provide for the rest of the world before we can provide for our own families - maintain standard of living instead of pushing the middle class into poverty,1
stop giving money away,1
stop immigration.,1
stop pandemie,1
stop raising taxes on everything and everybody including the rich & corporations,1
stop so much immigration!!,1
stop socialism in it's tracks,1
stop spending,1
stop spending money we don't have (budget),1
stop spending money.  tell people to go back to work. and open up everything,1
stop supporting foreign countries,1
stop taxing everything,1
stop the current vaccine attacks and the propaganda around the pandemic illusion and get rid once and for all of the health and climate hoaxes which only serve to justify hostilities and the tax,1
stop the debt,1
stop the trend to right wing extremism.,1
stop this vaccine passport,1
stop wasting tax dollars,1
stopper la corruption au sein du gouvernement tyrannique,1
stopping bill 96 in qc,1
stopping cerb payments and getting people back to work,1
stopping covid restrictions so that the economy can re-open properly.,1
stopping equalization payments,1
stopping immigrants from dangerous countries,1
stopping the conservatives,1
stopping the covid restrictions and the infringement on our civil liberties,1
stopping the equalization payments,1
stopping the far right conservative/republican party of canada,1
stopping the hemmohaging growth of the national debt,1
stopping the lies and bullshit with this fake pandemic also stop government from stealing from us citizens to give to other countries,1
stopping the race-to-the-bottom competition to give tax concessions,1
stopping third world immigration,1
stopping to mandate the covid vaccine,1
stopping vaccine mandates,1
strengthening health care,1
strengthening the economy,1
strict restrictions  and punishment for those who refuse to get vaccinated or wear a mask,1
strong but compassionate leadership,1
strong honest leadership,1
strong leadership to make changes,1
strong middle class,1
strong recovery,1
"stronger covid stance, economic equality for canadians,",1
student debt and cost of post secondary education,1
"student debt, and economy",1
student financial support,1
student funding,1
student issues,1
student loan,1
student loan and better wages for nurses,1
student loan debt,1
student loan debt relief,1
student loans and access t9 safe smoking alternatives,1
student loans and grants like osap,1
student loans/housing costs,1
students education,1
studios su,1
suite de la covid,1
supplément revenu personne agée,1
support and benefits for seniors,1
support for alberta and the fossil fuel industry,1
support for families childcare and guaranteed income,1
support for low income,1
support for lower-income earners,1
support for minorities,1
support for old people,1
support for our economy,1
support for people with disabilities,1
support for senior citizens,1
support for the elderly,1
support of israel,1
supporting all canadians,1
supporting children,1
supporting low income households especially during the pandemic,1
supporting middle/ lower. class,1
supporting our economy so that are spending is closer to our tax revenue without increasing taxes per capita.,1
supporting social change in a post covid economy,1
supporting veterans and seniors rather than sending our money abroad.,1
supports for mentally ill and disabled canadians,1
"survey feedback:  please include a progress bar so participants can see their progress.  please increase the reward for the survey if there is no progress bar to reflect the inconvenience.housing crisis, ending first past the post, first nations reconsiliation, climate change",1
survival,1
sustainability of every day live - live in z vancouver is too expensive and government is not helping in any way,1
systeme de justice,1
systeme de la santé,1
systeme de sante,1
systeme de santé,1
systemic poverty,1
système d'élection ministérielle,1
système de garderie au travers du canada,1
système de l’éducation,1
système de santé et environnement,1
système de santé et éducation,1
système publique de santé,1
système sante,1
sécurité,1
sécurité de la vieillesse,1
sécurité des gens,1
sécurité face à la covid,1
sécurité mondiale,1
séduire le québec,1
t8a1z3,1
taces,1
take care of old people like me and even more the ones with sickness etc.,1
take the currently seated people out,1
"taking action against  unreal high prices of food, especially meats and the obscene price of gas these two items affect every canadian .the  party who seriously tackles these two items will get my vote.",1
"taking action in giving indigenous peoples clean water, rights and land back , decolonization",1
taking away charitable status from organizations that oppose abortion - i am against this,1
taking care of canadians first and affordable living,1
taking care of our indigenous people,1
taking care of our people,1
taking care of seniors and people with disabilities,1
taking care of seniors.,1
taking care of the elderly.,1
taking care of the poor and middle class,1
tax and commodity price,1
tax and housing affordability,1
tax breaks and better benefits for seniors,1
tax breaks and cost of living for the middle-lower class peoples post-pandemic.,1
tax breaks for middle class,1
tax evasion,1
tax fairness for the unattached individual,1
tax increases,1
tax is theft,1
tax rates & health care,1
tax reduction,1
tax reductions and laws,1
tax reform,1
tax relief,1
tax return,1
taxation and having the government living within its means.,1
taxation and the economy,1
taxation increases,1
taxation of the one percent i.e. corporations and the wealthy,1
taxation policy and potential changes to capital gains exemptions,1
"taxation, inflation",1
taxes / economy,1
taxes / gov't debt,1
taxes and amount of handouts,1
taxes and childcare,1
taxes and climate plan,1
taxes and corruption,1
taxes and countries debt,1
taxes and covid,1
taxes and covid management,1
taxes and expensive cost of living,1
taxes and health care,1
taxes and immigration,1
"taxes and inflation, cost of living",1
taxes and jobs,1
taxes and minimum wage,1
taxes and national debt,1
taxes and standard of living,1
taxes and student debts,1
taxes are too high,1
taxes are too much for people who are working and some people are just getting unemployment funds and working illegally which is not good for the people who are paying taxes and working towards the country,1
taxes et impot,1
taxes et impots,1
taxes for lower and middle class,1
taxes on low income seniors,1
taxes to be reduced,1
taxes to high,1
taxes to high income  earners,1
"taxes, cost of living",1
"taxes, cost of living, wages",1
"taxes, covid, immigration",1
"taxes, expenses",1
"taxes, fuckers take all my money and then take more ..... enough already",1
"taxes, help for old age and disability",1
"taxes, housing costs",1
"taxes, immigration, health care",1
"taxes, jobs, & environment",1
"taxes, racist",1
taxes. deficit.,1
taxing of wealthy individuals,1
taxing the 1%,1
taxing the rich and climate change,1
taxing the rich tax breaks to the poor,1
taxing the rich to provide $ for programs that help people,1
taxing the ultra wealthy,1
taxing the wealthy more,1
taxing the wealthy to lower middle class taxes,1
ta x,1
tbe law,1
td,1
tdfyfgj,1
"telecom prices, access to high-speed broadband internet, and building a crown corporation in the telecom industry",1
tenir une élection inutile en temps de pandémie,1
terminer la pcre,1
that alberta is treated as second class,1
that all canadians are equal under the same laws and obligations,1
that cerb does not need to be repaid,1
that child tax benefits would increase,1
that concrete measures be taken to strengthen the state of democracy in canada.,1
that conservative party not have a majority,1
that conservatives don’t win,1
"that covid-19 is handled properly, and clean drinking water for everyone",1
that democracy is upheld and visible,1
that every one has a vote,1
that everyone gets vaccinated against covid-19,1
that everything returns back to normal and that the person who gets elected wont be insane,1
that he has put canada into more debt then before and he doesn’t care about the people. we the people are the ones that elect the government and run it. not the other way around. time they start to realize that!,1
that is shouldn't have been called at this time..... and covid,1
"that it is being done in the middle of a global pandemic mainly because you know tht you will win, that is a little dirty",1
that it was called in the first place as it was not necessary.,1
that it's fair,1
that it's going to be rigged,1
that it's liberal.,1
that justin trudeau loses,1
that liberals will win,1
that many citizens vote so we have a fair sample,1
that most of our money stays in canada,1
that one was even called - during a pandemic - b/c the pm doesn’t want to work with the other parties in a minority government,1
that our prime mister is spending money like thief is no tomorrow,1
that our taxes dont go up too much. that our current federal government wins a majority and continues to fight for our safety against covid.,1
that o’toole does not win,1
that people who break rules during pandemic should be dealt with but in a proper way peacefully,1
that politicians keep their promises,1
that seniors are reconise to start at 65 not 75,1
that seniors be looked after financially as well as immigrates that come into the country.  why immigrates should be able to collect more money than a canadian who has put in their years of work and if and when they get a increase in the old age pension it is pennies on the dollar. also the federal government should be made to pay back the money that they took from canadian as it was not their money to take.  in whole senior's are not been treated fairly nor are all the people contributing to canada pension.,1
that the conservatives be kept out of government,1
that the conservatives do not get in.,1
that the conservatives don't get elected no matter what,1
that the conservatives don’t win,1
"that the dictatorship ends and the citizens get every one of their freedoms back that have been taken since trudeau took over. what we see is no longer canada and it is an evil, dark and scary trajectory filled with division, hate and oppression. not canadian at all.",1
that the elected will raise post secondary tuition and living prices,1
that the government help more people with child,1
that the government holds to thetruth in what they promisde,1
that the government in power is at least trying to fix the problems at hand and improve the living conditions of those in need,1
that the less vulnerable get a basic income. they don't have enough to live off of especially people on odsp,1
that the liberal government gets kicked out.,1
that the liberal party is no longer in power,1
that the liberals don’t get in again,1
that the liberals win the election,1
"that the person leading the country afterwards is strong, fair, caring, knowledgeable about coavid",1
that the person that i voted for is for the low income families.,1
that the right leader is voted in that have the interest of the the whole of canada in their interest and not for personal gain.,1
that the truth be told in everything,1
that the western part o canada is treated fairly,1
that the western provinces don’t have the same voting power as the eastern provinces,1
that the western provinces have support with their industries and not saying that we have to get rid of them by going totally green energy.,1
that there will be a real good voter turn out.,1
that they be totally honest,1
that they do what they say…,1
that they help with the housing crisis . and help people afford decent housing,1
that they stop this forced covid vaccine mandate and covid vaccine passports,1
that trudeau gets kicked out of office,1
that trudeau gets voted out and or rights are protected,1
that trudeau is gone! the  unbalance of seats  across canada and the fact the quebec block is involved in the vote when they do not represent canada.,1
that trudeau is removed from office and he and libs are made to answer for all the mismanagement and corruption,1
that trudeau loses mega seats for being so selfish calling an expensive election during a pandemic,1
that trudeau not get a majority government,1
that trudeau not get elected again.,1
that vaccine passports are created,1
that we are all canadians regardless of the colour of our skin/sex/gender etc.,1
that we are free of an unethical prime minister,1
that we be led by elected officials that care for citizens not themselves,1
that we continue with covid protocols,1
that we do not embrace conservative values,1
"that we don’t , as a country, sink to the low standards of respect we see in the usa elections",1
that we elect an open minded prime minister with values that match that of our country in terms of diversity and equality,1
that we finally see change,1
that we get a different prime minister,1
"that we get a group that stands up for what canadians want, and they take care of the environment, and the older generation.",1
that we get a leader who will promote more favourable finiancial treatment of our equalization payments and allow for elected senators!,1
that we get a majority of any party,1
"that we get covid under control by vaccinating all the population of age to receive the shots, and that we take steps to once again produce vaccines in this country",1
that we have a transparent prime minister who isn’t caught in lies and scandals,1
that we have the freedom of choice. no vaccine mandates or vaccine passports,1
that we not re-elect the liberals under trudeau!,1
that we stop sending so much money to other countries,1
that we vote liberals out!,1
that who ever win should lower the tax,1
that whoever gets elected follows through with promises,1
"that whoever gets elected, removes vaccine passports and allows life in society to keep moving forward. there are more severe illnesses that can kill you mentally worse than catching covid-19",1
"that whoever wins is completely honest and has good standards and care for the canadian people, including the indigenous people who have been suffering on long lived promises.",1
"that, following this pandemic and its economic effects on canadian's livelihoods, our government stops politicizing this issue and using it as a means to push through their agenda which is based on the faulty idea that 'they know better' and start prioritizing the needs of canadians.",1
the,1
"the ""pandemic""",1
the % of the popular vote,1
the actual election.  i don't think canadians should be paying for this at this time and all of our focus should be on the handling of covid as it changes and deviates.,1
the addiction and homelessness in my community that causes crime.,1
the affordability of living costs,1
the agenda,1
"the amateur way that the liberal government deals with the budget, foreign affairs, immigration and many other issues.",1
the amount of debt that idiot has rung up,1
the amount of debt we are in.,1
the amount of infliuence by corporate and business interests,1
the amount of money being spent by the government,1
the amount of the old age pension  the seniors get each month  this should be raised,1
the apparent dishonesty and attitude of justin trudeau,1
the are making fake promise to make everyone happy,1
the armed forces,1
the arts,1
the attack on public health care,1
the balloning national debt,1
the ballooning debt and taxes,1
the ballooning deficit,1
the benefit of the people living in canada financially,1
the best overall platform not just one issue.,1
the biggest issue is the amount of money spent on this propaganda and lies.,1
"the bitching between candidates, no respect for each othwr",1
the blatant lies,1
the budget and gun control.,1
"the budget, spending too much taxpayers money or in the wrong places",1
the bulling by the liberals,1
the calling of an unnecessary election during a pandemic,1
the campaign that have people -friendly strategies and manifesto,1
the canadian debt,1
the citizens. politicians seem to forget about us once elected,1
the climate,1
"the climate change. if it's not seriously taken, we won't have a world to live in. god help our children and grandchildren.",1
the climate!,1
the conservatives not winning,1
the conservatives win a majority,1
"the constant liberal propaganda, and using the system for their political gain, combined with incompetent leadership and ministers..",1
the corona virus,1
the coronavirus pandemic,1
the corrupt government,1
the corrupt leadership currently running this country,1
the corruption and dishonesty of the liberal party particularly justin trudeau,1
the corruption in the trudeau liberal government in ottawa- disgraceful!!,1
the corruption of the federal liberal government and the economy,1
the corruptness of politicians.,1
the coruption and power the government seems to feel to have,1
the cost of housing,1
the cost of living in my city,1
the cost of living/housing,1
the cost of my prescriptions,1
the countries debt,1
the country is in right hands,1
the country's debt load,1
the country’s debt,1
the covid 19 epidemic,1
the covid 19 pandemic,1
the covid crisis,1
the covid pandemic,1
the covid problem,1
"the covid recovery plan,",1
"the covid-19 pandemic and working as a community with scientific and medical advice being followed by all, including and especially  politicians",1
"the covid-19 pandemic issue, and its completion to end with overall vaccinations. a new conservative pm who is ethical, honest and trustworthy, not trudeau.",1
the covid-19 virus and antivaxxers,1
the criminal government attempting to enslave humanity,1
the criminality of our politicians,1
the cuntries debt and some attempt o control it,1
the current government is ahead in the polls. they lack ethics and and comprehension of what it will do to people when the debt must be paid down.,1
the cuts to health care by my provincial government,1
the cuts to health care will be reversed,1
the danger of ultra-right populism finding a platform,1
the deafacit and putting people back to work,1
the debit!,1
the debt and deficit,1
the debt and how we are waisting our childrens feature.,1
the debt of canada especially since covid-19 has managed to suddenly provide so much money for so many.... it's scary how much canada owes!!,1
the debt that keeps growing,1
the debt that our prime minister is accumulating,1
the debt trudeau has brought to the nation,1
the deficet,1
the deficit and how much money we owe,1
the deficit and taxation,1
the deficit is,1
